,nerdiness
0,0.457041515880158
1,0.7390407079791644
2,0.7540080059309897
3,0.6110300034173834
4,0.6975922831977609
5,0.16486877250502685
6,0.6860963755010655
7,0.7416982525548517
8,0.5251387280912173
9,0.49202493604203007
10,0.5973343504698578
11,0.8705935918600868
12,0.686134629127344
13,0.40148959493730896
14,0.5332104435349126
15,0.4818372803814888
16,0.11179415786353986
17,0.5859551895439963
18,0.7390234153386638
19,0.7006767223766476
20,0.3236190991728336
21,0.3720605716591537
22,0.6472077525546167
23,0.5524962038732939
24,0.3969853426173395
25,0.6185128947009785
26,0.7878785893868853
27,0.7570732899432356
28,0.3101528853371802
29,0.3032289627948573
30,0.3835679678858599
31,0.21351272622540274
32,0.6995675817850535
33,0.5139407917118022
34,0.5208036605044805
35,0.35256404676598674
36,0.5841082958777373
37,0.3337020684764022
38,0.5534519541113706
39,0.7246480830466394
40,0.7324218422540273
41,0.18768907934926382
42,0.6699726301538651
43,0.2198131087235136
44,0.7857396480084399
45,0.31609251522722354
46,0.7607405474966313
47,0.2968831156892405
48,0.7746509947479719
49,0.8269563140023565
50,0.4176050403502083
51,0.29955390802090265
52,0.759597885124816
53,0.7624142668546551
54,0.7634909679019435
55,0.8098457774747126
56,0.1670911125438744
57,0.7501045813120983
58,0.2211485230873511
59,0.5108872645782006
60,0.4231918396524101
61,0.48204492669211163
62,0.6318510496855111
63,0.6381303465801528
64,0.742499600092855
65,0.5828769875074556
66,0.23408307972772172
67,0.394720150490296
68,0.6105440660047435
69,0.5605659620433896
70,0.8507684643923984
71,0.6037510730877736
72,0.5449541071990817
73,0.7140970406018883
74,0.32529169615997183
75,0.7344983225654204
76,0.12714138931328386
77,0.724935662615128
78,0.6724973321269255
79,0.8474839853082615
80,0.7760806475798709
81,0.7964081949748324
82,0.29577161068781793
83,0.22933308501851432
84,0.40840344175305865
85,0.5240347959554273
86,0.8953558372660771
87,0.6288381204690939
88,0.8658196564462338
89,0.8143366350441102
90,0.5957117502154811
91,0.21702020209061637
92,0.47309376897012684
93,0.5329052401594095
94,0.8337993384721236
95,0.28182859830855
96,0.7550178044034231
97,0.6289051227319615
98,0.3603709189946473
99,0.7053513844179785
100,0.6159221049091718
101,0.2574067040827146
102,0.36002912299903933
103,0.3595761595046139
104,0.3582986189736022
105,0.4622492788827925
106,0.461442910071527
107,0.4381726113212315
108,0.9107073869500315
109,0.5143073707568527
110,0.6658542057422615
111,0.19156232516553484
112,0.6030745650088942
113,0.585217855175612
114,0.7474343392185311
115,0.5334417097800139
116,0.8117860938925441
117,0.2694663090318341
118,0.7673920125597992
119,0.7630732510714527
120,0.3928083386411561
121,0.2929619820970764
122,0.5061662975445143
123,0.6918223438402912
124,0.5719855186661662
125,0.8597974821197587
126,0.6763744105560018
127,0.7421382021918621
128,0.5877634104352342
129,0.7787682305151638
130,0.8217108613689946
131,0.562970071687039
132,0.8823809663771777
133,0.26207955559523133
134,0.21399055352079285
135,0.21251634963403884
136,0.7229194088693905
137,0.49314234535844187
138,0.9122238892638298
139,0.3121933215089963
140,0.8449383339565415
141,0.4785051796082919
142,0.7182350270497287
143,0.6252991301697146
144,0.8060842846570667
145,0.31991141911182003
146,0.1164797742025227
147,0.8628080743814501
148,0.638041400761882
149,0.8497488912640446
150,0.16504115818791149
151,0.7151276149419096
152,0.9023764333340477
153,0.803952124019081
154,0.09028762131085
155,0.10712400073807014
156,0.3330157475353606
157,0.44503315208732125
158,0.6889320155453249
159,0.6114678324228019
160,0.3461987078024706
161,0.5951118709416755
162,0.48162754732172663
163,0.7839144995244564
164,0.7643573012464148
165,0.23633248722494307
166,0.3917327977805647
167,0.42291855288687175
168,0.31890581050160677
169,0.43018405642772306
170,0.45996356265231125
171,0.7013936697445122
172,0.830690032684822
173,0.7117283524823416
174,0.4419607204341362
175,0.40912994767372374
176,0.3348002422544809
177,0.42376964374425974
178,0.741365180277808
179,0.510888484114829
180,0.8096356871767377
181,0.8634793537951063
182,0.31533290843977757
183,0.858836251517673
184,0.507907211731094
185,0.8966838933953163
186,0.6754369998284299
187,0.81874470963295
188,0.5284919181042455
189,0.5396861842989719
190,0.7096744581112064
191,0.8408672178117705
192,0.2561841777674605
193,0.4502485444949513
194,0.745228806945993
195,0.427606937363669
196,0.7252290288895553
197,0.6632518542968264
198,0.6101970541244855
199,0.7853950048200905
200,0.18016378793254825
201,0.5306434346636734
202,0.4711179467698153
203,0.4412077881794128
204,0.4917979948255611
205,0.760355594393353
206,0.6632786162963695
207,0.665766181575416
208,0.9178261007454752
209,0.5413696695536753
210,0.8868795138368696
211,0.8003517433575037
212,0.5012975608311608
213,0.4894118134046028
214,0.6640915853701119
215,0.8147005334040811
216,0.5129571762530433
217,0.6859250742748824
218,0.8216779094712733
219,0.24963090700366633
220,0.8988173578124762
221,0.24943084257393586
222,0.3892968767229206
223,0.39655087577608494
224,0.4488965661979864
225,0.29708904322923896
226,0.2181692439059448
227,0.528454608851439
228,0.7404905598506205
229,0.596222116892214
230,0.7499092679945228
231,0.4679255111297053
232,0.47668588524633515
233,0.3883866950490409
234,0.2069224237987409
235,0.6678518840980167
236,0.10865350717064183
237,0.10298796740450682
238,0.5327201389111719
239,0.6263310588543046
240,0.7491968976489888
241,0.7737513868636916
242,0.5393420854387893
243,0.55506723954046
244,0.4428627643172447
245,0.08917548386712094
246,0.5953375654675033
247,0.8730623014746998
248,0.7077330532159438
249,0.5211579036313312
250,0.7082145607312677
251,0.8616753716552336
252,0.10684151625174922
253,0.5161208743547216
254,0.8361127996064979
255,0.7810558616617884
256,0.6522003059421313
257,0.2995466520562436
258,0.8277297217642356
259,0.8183994851263421
260,0.8432887074063689
261,0.7795101407949403
